timestamp_IMU1,accel_X_IMU1,accel_Y_IMU1,accel_Z_IMU1,gyro_X_IMU1,gyro_Y_IMU1,gyro_Z_IMU1,mag_X_IMU1,mag_Y_IMU1,mag_Z_IMU1,timestamp_IMU2,accel_X_IMU2,accel_Y_IMU2,accel_Z_IMU2,gyro_X_IMU2,gyro_Y_IMU2,gyro_Z_IMU2,mag_X_IMU2,mag_Y_IMU2,mag_Z_IMU2
74892720611,0,0,0,0,0,0,299,0,0,74892797611,0,0,0,0,0,0,429,0,0
74893840611,0,0,0,0,0,0,260,0,0,74893917611,0,0,0,0,0,0,397,0,0
74894960611,0,0,0,0,0,0,306,0,0,74895037611,0,0,0,0,0,0,448,0,0
74896080611,0,0,0,0,0,0,317,0,0,74896157611,0,0,0,0,0,0,426,0,0
74897200611,0,0,0,0,0,0,229,0,0,74897277611,0,0,0,0,0,0,487,0,0
74898320611,0,0,0,0,0,0,319,0,0,74898397611,0,0,0,0,0,0,401,0,0
74899440611,0,0,0,0,0,0,295,0,0,74899517611,0,0,0,0,0,0,451,0,0
74900560611,0,0,0,0,0,0,312,0,0,74900637611,0,0,0,0,0,0,409,0,0
74901680611,0,0,0,0,0,0,275,0,0,74901757611,0,0,0,0,0,0,440,0,0
74902800611,0,0,0,0,0,0,251,0,0,74902877611,0,0,0,0,0,0,386,0,0
74903920611,0,0,0,0,0,0,279,0,0,74903997611,0,0,0,0,0,0,458,0,0
74905040611,0,0,0,0,0,0,295,0,0,74905117611,0,0,0,0,0,0,421,0,0
74906160611,0,0,0,0,0,0,274,0,0,74906237611,0,0,0,0,0,0,462,0,0
74907280611,0,0,0,0,0,0,293,0,0,74907357611,0,0,0,0,0,0,445,0,0
74908400611,0,0,0,0,0,0,225,0,0,74908477611,0,0,0,0,0,0,437,0,0
74909520611,0,0,0,0,0,0,290,0,0,74909597611,0,0,0,0,0,0,415,0,0
74910640611,0,0,0,0,0,0,282,0,0,74910717611,0,0,0,0,0,0,431,0,0
74911760611,0,0,0,0,0,0,265,0,0,74911837611,0,0,0,0,0,0,464,0,0
74912880611,0,0,0,0,0,0,255,0,0,74912957611,0,0,0,0,0,0,444,0,0
74914000611,0,0,0,0,0,0,232,0,0,74914077611,0,0,0,0,0,0,444,0,0
74915120611,0,0,0,0,0,0,245,0,0,74915197611,0,0,0,0,0,0,459,0,0
74916240611,0,0,0,0,0,0,315,0,0,74916317611,0,0,0,0,0,0,468,0,0
74917360611,0,0,0,0,0,0,264,0,0,74917437611,0,0,0,0,0,0,422,0,0
74918480611,0,0,0,0,0,0,246,0,0,74918557611,0,0,0,0,0,0,432,0,0
74919600611,0,0,0,0,0,0,300,0,0,74919677611,0,0,0,0,0,0,408,0,0
74920720611,0,0,0,0,0,0,276,0,0,74920797611,0,0,0,0,0,0,437,0,0
74921840611,0,0,0,0,0,0,295,0,0,74921917611,0,0,0,0,0,0,419,0,0
74922960611,0,0,0,0,0,0,276,0,0,74923037611,0,0,0,0,0,0,452,0,0
74924080611,0,0,0,0,0,0,262,0,0,74924157611,0,0,0,0,0,0,432,0,0
74925200611,0,0,0,0,0,0,287,0,0,74925277611,0,0,0,0,0,0,469,0,0
74926320611,0,0,0,0,0,0,303,0,0,74926397611,0,0,0,0,0,0,434,0,0
74927440611,0,0,0,0,0,0,308,0,0,74927517611,0,0,0,0,0,0,432,0,0
74928560611,0,0,0,0,0,0,313,0,0,74928637611,0,0,0,0,0,0,451,0,0
74929680611,0,0,0,0,0,0,285,0,0,74929757611,0,0,0,0,0,0,425,0,0
74930800611,0,0,0,0,0,0,324,0,0,74930877611,0,0,0,0,0,0,433,0,0
74931920611,0,0,0,0,0,0,251,0,0,74931997611,0,0,0,0,0,0,411,0,0
74933040611,0,0,0,0,0,0,261,0,0,74933117611,0,0,0,0,0,0,477,0,0
74934160611,0,0,0,0,0,0,278,0,0,74934237611,0,0,0,0,0,0,443,0,0
74935280611,0,0,0,0,0,0,284,0,0,74935357611,0,0,0,0,0,0,447,0,0
74936400611,0,0,0,0,0,0,248,0,0,74936477611,0,0,0,0,0,0,426,0,0
74937520611,0,0,0,0,0,0,318,0,0,74937597611,0,0,0,0,0,0,490,0,0
74938640611,0,0,0,0,0,0,274,0,0,74938717611,0,0,0,0,0,0,421,0,0
74939760611,0,0,0,0,0,0,270,0,0,74939837611,0,0,0,0,0,0,451,0,0
74940880611,0,0,0,0,0,0,279,0,0,74940957611,0,0,0,0,0,0,417,0,0
74942000611,0,0,0,0,0,0,226,0,0,74942077611,0,0,0,0,0,0,452,0,0
74943120611,0,0,0,0,0,0,288,0,0,74943197611,0,0,0,0,0,0,452,0,0
74944240611,0,0,0,0,0,0,261,0,0,74944317611,0,0,0,0,0,0,427,0,0
74945360611,0,0,0,0,0,0,301,0,0,74945437611,0,0,0,0,0,0,485,0,0
74946480611,0,0,0,0,0,0,303,0,0,74946557611,0,0,0,0,0,0,426,0,0
