timestamp_separation,timestamp_sync_event,offset,mag_sampling_leading_time
222740799,57680797,0,0
445617999,280557997,2800,0
668495199,503435197,5600,0
891372399,726312397,8400,0
1114249599,949189597,11200,0
1337126799,1172066797,14000,0
1560003999,1394943997,16800,0
1782881199,1617821197,19600,0
2005758399,1840698397,22400,0
2228635599,2063575597,25200,0
2451512799,2286452797,28000,0
2674389999,2509329997,30800,0
2897267199,2732207197,33600,0
3120144399,2955084397,36400,0
3343021599,3177961597,39200,0
3565898799,3400838797,42000,0
3788775999,3623715997,44800,0
4011653199,3846593197,47600,0
4234530399,4069470397,50400,0
4457407599,4292347597,53200,0
4680284799,4515224797,56000,0
4903161999,4738101997,58800,0
5126039199,4960979197,61600,0
5348916399,5183856397,64400,0
5571793599,5406733597,67200,0
5794670799,5629610797,70000,0
6017547999,5852487997,72800,0
6240425199,6075365197,75600,0
6463302399,6298242397,78400,0
6686179599,6521119597,81200,0
6909056799,6743996797,84000,0
7131933999,6966873997,86800,0
7354811199,7189751197,89600,0
7577688399,7412628397,92400,0
7800565599,7635505597,95200,0
8023442799,7858382797,98000,0
8246319999,8081259997,100800,0
8469197199,8304137197,103600,0
8692074399,8527014397,106400,0
8914951599,8749891597,109200,0
9137828799,8972768797,112000,0
9360705999,9195645997,114800,0
9583583199,9418523197,117600,0
9806460399,9641400397,120400,0
10029337599,9864277597,123200,0
10252214799,10087154797,126000,0
10475091999,10310031997,128800,0
10697969199,10532909197,131600,0
10920846399,10755786397,134400,0
11143723599,10978663597,137200,0
11366600799,11201540797,140000,0
11589477999,11424417997,142800,0
11812355199,11647295197,145600,0
12035232399,11870172397,148400,0
12258109599,12093049597,151200,0
12480986799,12315926797,154000,0
12703863999,12538803997,156800,0
12926741199,12761681197,159600,0
13149618399,12984558397,162400,0
13372495599,13207435597,165200,0
13595372799,13430312797,168000,0
13818249999,13653189997,170800,0
14041127199,13876067197,173600,0
14264004399,14098944397,176400,0
14486881599,14321821597,179200,0
14709758799,14544698797,182000,0
14932635999,14767575997,184800,0
15155513199,14990453197,187600,0
15378390399,15213330397,190400,0
15601267599,15436207597,193200,0
15824144799,15659084797,196000,0
16047021999,15881961997,198800,0
16269899199,16104839197,201600,0
16492776399,16327716397,204400,0
16715653599,16550593597,207200,0
16938530799,16773470797,210000,0
17161407999,16996347997,212800,0
17384285199,17219225197,215600,0
17607162399,17442102397,218400,0
17830039599,17664979597,221200,0
18052916799,17887856797,224000,0
18275793999,18110733997,226800,0
18498671199,18333611197,229600,0
18721548399,18556488397,232400,0
18944425599,18779365597,235200,0
19167302799,19002242797,238000,0
19390179999,19225119997,240800,0
19613057199,19447997197,243600,0
19835934399,19670874397,246400,0
20058811599,19893751597,249200,0
20281688799,20116628797,252000,0
20504565999,20339505997,254800,0
20727443199,20562383197,257600,0
20950320399,20785260397,260400,0
21173197599,21008137597,263200,0
21396074799,21231014797,266000,0
21618951999,21453891997,268800,0
21841829199,21676769197,271600,0
22064706399,21899646397,274400,0
22287583599,22122523597,277200,0
22510460799,22345400797,280000,0
22733337999,22568277997,282800,0
22956215199,22791155197,285600,0
23179092399,23014032397,288400,0
23401969599,23236909597,291200,0
23624846799,23459786797,294000,0
23847723999,23682663997,296800,0
24070601199,23905541197,299600,0
24293478399,24128418397,302400,0
24516355599,24351295597,305200,0
24739232799,24574172797,308000,0
24962109999,24797049997,310800,0
25184987199,25019927197,313600,0
25407864399,25242804397,316400,0
25630741599,25465681597,319200,0
25853618799,25688558797,322000,0
26076495999,25911435997,324800,0
