timestamp_separation,timestamp_sync_event,offset,mag_sampling_leading_time
867482799,57680797,0,0
1735479999,925677997,2800,0
2603477199,1793675197,5600,0
3471474399,2661672397,8400,0
4339471599,3529669597,11200,0
5207468799,4397666797,14000,0
6075465999,5265663997,16800,0
6943463199,6133661197,19600,0
7811460399,7001658397,22400,0
8679457599,7869655597,25200,0
9547454799,8737652797,28000,0
10415451999,9605649997,30800,0
11283449199,10473647197,33600,0
12151446399,11341644397,36400,0
13019443599,12209641597,39200,0
13887440799,13077638797,42000,0
14755437999,13945635997,44800,0
15622315199,14812513197,47600,0
16489192399,15679390397,50400,0
17356069599,16546267597,53200,0
18222946799,17413144797,56000,0
19089823999,18280021997,58800,0
19956701199,19146899197,61600,0
20823578399,20013776397,64400,0
21690455599,20880653597,67200,0
22557332799,21747530797,70000,0
23424209999,22614407997,72800,0
24291087199,23481285197,75600,0
25157964399,24348162397,78400,0
26024841599,25215039597,81200,0
26891718799,26081916797,84000,0
27758595999,26948793997,86800,0
28625473199,27815671197,89600,0
29492350399,28682548397,92400,0
30359227599,29549425597,95200,0
31226104799,30416302797,98000,0
32092981999,31283179997,100800,0
32959859199,32150057197,103600,0
33826736399,33016934397,106400,0
34693613599,33883811597,109200,0
35560490799,34750688797,112000,0
36427367999,35617565997,114800,0
37294245199,36484443197,117600,0
38161122399,37351320397,120400,0
39027999599,38218197597,123200,0
39894876799,39085074797,126000,0
40761753999,39951951997,128800,0
41628631199,40818829197,131600,0
42495508399,41685706397,134400,0
43362385599,42552583597,137200,0
44229262799,43419460797,140000,0
45096139999,44286337997,142800,0
45963017199,45153215197,145600,0
46829894399,46020092397,148400,0
47696771599,46886969597,151200,0
48563648799,47753846797,154000,0
49430525999,48620723997,156800,0
50297403199,49487601197,159600,0
51164280399,50354478397,162400,0
52031157599,51221355597,165200,0
52898034799,52088232797,168000,0
53764911999,52955109997,170800,0
54631789199,53821987197,173600,0
55498666399,54688864397,176400,0
56365543599,55555741597,179200,0
57232420799,56422618797,182000,0
58099297999,57289495997,184800,0
58966175199,58156373197,187600,0
59833052399,59023250397,190400,0
60699929599,59890127597,193200,0
61566806799,60757004797,196000,0
62433683999,61623881997,198800,0
63300561199,62490759197,201600,0
64167438399,63357636397,204400,0
65034315599,64224513597,207200,0
65901192799,65091390797,210000,0
66768069999,65958267997,212800,0
67634947199,66825145197,215600,0
68501824399,67692022397,218400,0
69368701599,68558899597,221200,0
70235578799,69425776797,224000,0
71102455999,70292653997,226800,0
71969333199,71159531197,229600,0
72836210399,72026408397,232400,0
73703087599,72893285597,235200,0
74569964799,73760162797,238000,0
75436841999,74627039997,240800,0
76303719199,75493917197,243600,0
77170596399,76360794397,246400,0
78037473599,77227671597,249200,0
78904350799,78094548797,252000,0
79771227999,78961425997,254800,0
80638105199,79828303197,257600,0
81504982399,80695180397,260400,0
82371859599,81562057597,263200,0
83238736799,82428934797,266000,0
84105613999,83295811997,268800,0
84972491199,84162689197,271600,0
85839368399,85029566397,274400,0
86706245599,85896443597,277200,0
87573122799,86763320797,280000,0
88439999999,87630197997,282800,0
89306877199,88497075197,285600,0
90173754399,89363952397,288400,0
91040631599,90230829597,291200,0
91907508799,91097706797,294000,0
92774385999,91964583997,296800,0
93641263199,92831461197,299600,0
94508140399,93698338397,302400,0
95375017599,94565215597,305200,0
96241894799,95432092797,308000,0
97108771999,96298969997,310800,0
97975649199,97165847197,313600,0
98842526399,98032724397,316400,0
99709403599,98899601597,319200,0
100576280799,99766478797,322000,0
101443157999,100633355997,324800,0
102310035199,101500233197,327600,0
103176912399,102367110397,330400,0
104043789599,103233987597,333200,0
104910666799,104100864797,336000,0
105777543999,104967741997,338800,0
106644421199,105834619197,341600,0
107511298399,106701496397,344400,0
108378175599,107568373597,347200,0
109245052799,108435250797,350000,0
110111929999,109302127997,352800,0
110978807199,110169005197,355600,0
111845684399,111035882397,358400,0
112712561599,111902759597,361200,0
113579438799,112769636797,364000,0
114446315999,113636513997,366800,0
115313193199,114503391197,369600,0
116180070399,115370268397,372400,0
117046947599,116237145597,375200,0
117913824799,117104022797,378000,0
118780701999,117970899997,380800,0
119647579199,118837777197,383600,0
120514456399,119704654397,386400,0
121381333599,120571531597,389200,0
122248210799,121438408797,392000,0
123115087999,122305285997,394800,0
123981965199,123172163197,397600,0
124848842399,124039040397,400400,0
125715719599,124905917597,403200,0
126582596799,125772794797,406000,0
127449473999,126639671997,408800,0
128316351199,127506549197,411600,0
129183228399,128373426397,414400,0
130050105599,129240303597,417200,0
130916982799,130107180797,420000,0
131783859999,130974057997,422800,0
132650737199,131840935197,425600,0
133517614399,132707812397,428400,0
134384491599,133574689597,431200,0
135251368799,134441566797,434000,0
136118245999,135308443997,436800,0
136985123199,136175321197,439600,0
137852000399,137042198397,442400,0
138718877599,137909075597,445200,0
139585754799,138775952797,448000,0
140452631999,139642829997,450800,0
141319509199,140509707197,453600,0
142186386399,141376584397,456400,0
143053263599,142243461597,459200,0
143920140799,143110338797,462000,0
144787017999,143977215997,464800,0
145653895199,144844093197,467600,0
146520772399,145710970397,470400,0
147387649599,146577847597,473200,0
148254526799,147444724797,476000,0
149121403999,148311601997,478800,0
149988281199,149178479197,481600,0
150855158399,150045356397,484400,0
151722035599,150912233597,487200,0
152588912799,151779110797,490000,0
153455789999,152645987997,492800,0
154322667199,153512865197,495600,0
155189544399,154379742397,498400,0
156056421599,155246619597,501200,0
156923298799,156113496797,504000,0
157790175999,156980373997,506800,0
158657053199,157847251197,509600,0
159523930399,158714128397,512400,0
160390807599,159581005597,515200,0
161257684799,160447882797,518000,0
162124561999,161314759997,520800,0
162991439199,162181637197,523600,0
163858316399,163048514397,526400,0
164725193599,163915391597,529200,0
165592070799,164782268797,532000,0
166458947999,165649145997,534800,0
167325825199,166516023197,537600,0
168192702399,167382900397,540400,0
169059579599,168249777597,543200,0
169926456799,169116654797,546000,0
170793333999,169983531997,548800,0
171660211199,170850409197,551600,0
172527088399,171717286397,554400,0
173393965599,172584163597,557200,0
174260842799,173451040797,560000,0
175127719999,174317917997,562800,0
175994597199,175184795197,565600,0
176861474399,176051672397,568400,0
177728351599,176918549597,571200,0
178595228799,177785426797,574000,0
179462105999,178652303997,576800,0
180328983199,179519181197,579600,0
181195860399,180386058397,582400,0
182062737599,181252935597,585200,0
182929614799,182119812797,588000,0
183796491999,182986689997,590800,0
184663369199,183853567197,593600,0
185530246399,184720444397,596400,0
186397123599,185587321597,599200,0
187264000799,186454198797,602000,0
188130877999,187321075997,604800,0
188997755199,188187953197,607600,0
189864632399,189054830397,610400,0
190731509599,189921707597,613200,0
191598386799,190788584797,616000,0
192465263999,191655461997,618800,0
193332141199,192522339197,621600,0
194199018399,193389216397,624400,0
195065895599,194256093597,627200,0
195932772799,195122970797,630000,0
196799649999,195989847997,632800,0
197666527199,196856725197,635600,0
198533404399,197723602397,638400,0
199400281599,198590479597,641200,0
200267158799,199457356797,644000,0
201134035999,200324233997,646800,0
202000913199,201191111197,649600,0
202867790399,202057988397,652400,0
203734667599,202924865597,655200,0
204601544799,203791742797,658000,0
205468421999,204658619997,660800,0
206335299199,205525497197,663600,0
207202176399,206392374397,666400,0
208069053599,207259251597,669200,0
208935930799,208126128797,672000,0
209802807999,208993005997,674800,0
210669685199,209859883197,677600,0
211536562399,210726760397,680400,0
212403439599,211593637597,683200,0
213270316799,212460514797,686000,0
214137193999,213327391997,688800,0
215004071199,214194269197,691600,0
215870948399,215061146397,694400,0
216737825599,215928023597,697200,0
217604702799,216794900797,700000,0
218471579999,217661777997,702800,0
219338457199,218528655197,705600,0
220205334399,219395532397,708400,0
221072211599,220262409597,711200,0
221939088799,221129286797,714000,0
222805965999,221996163997,716800,0
223672843199,222863041197,719600,0
224539720399,223729918397,722400,0
225406597599,224596795597,725200,0
226273474799,225463672797,728000,0
227140351999,226330549997,730800,0
228007229199,227197427197,733600,0
228874106399,228064304397,736400,0
229740983599,228931181597,739200,0
230607860799,229798058797,742000,0
231474737999,230664935997,744800,0
232341615199,231531813197,747600,0
233208492399,232398690397,750400,0
234075369599,233265567597,753200,0
234942246799,234132444797,756000,0
235809123999,234999321997,758800,0
236676001199,235866199197,761600,0
237542878399,236733076397,764400,0
238409755599,237599953597,767200,0
239276632799,238466830797,770000,0
240143509999,239333707997,772800,0
241010387199,240200585197,775600,0
241877264399,241067462397,778400,0
242744141599,241934339597,781200,0
243611018799,242801216797,784000,0
244477895999,243668093997,786800,0
245344773199,244534971197,789600,0
246211650399,245401848397,792400,0
247078527599,246268725597,795200,0
247945404799,247135602797,798000,0
248812281999,248002479997,800800,0
249679159199,248869357197,803600,0
250546036399,249736234397,806400,0
251412913599,250603111597,809200,0
252279790799,251469988797,812000,0
253146667999,252336865997,814800,0
254013545199,253203743197,817600,0
254880422399,254070620397,820400,0
255747299599,254937497597,823200,0
256614176799,255804374797,826000,0
257481053999,256671251997,828800,0
258347931199,257538129197,831600,0
259214808399,258405006397,834400,0
260081685599,259271883597,837200,0
260948562799,260138760797,840000,0
261815439999,261005637997,842800,0
262682317199,261872515197,845600,0
263549194399,262739392397,848400,0
264416071599,263606269597,851200,0
265282948799,264473146797,854000,0
266149825999,265340023997,856800,0
267016703199,266206901197,859600,0
267883580399,267073778397,862400,0
268750457599,267940655597,865200,0
269617334799,268807532797,868000,0
270484211999,269674409997,870800,0
271351089199,270541287197,873600,0
272217966399,271408164397,876400,0
273084843599,272275041597,879200,0
273951720799,273141918797,882000,0
274818597999,274008795997,884800,0
275685475199,274875673197,887600,0
276552352399,275742550397,890400,0
277419229599,276609427597,893200,0
278286106799,277476304797,896000,0
279152983999,278343181997,898800,0
280019861199,279210059197,901600,0
280886738399,280076936397,904400,0
281753615599,280943813597,907200,0
282620492799,281810690797,910000,0
283487369999,282677567997,912800,0
284354247199,283544445197,915600,0
285221124399,284411322397,918400,0
286088001599,285278199597,921200,0
286954878799,286145076797,924000,0
287821755999,287011953997,926800,0
288688633199,287878831197,929600,0
289555510399,288745708397,932400,0
290422387599,289612585597,935200,0
291289264799,290479462797,938000,0
292156141999,291346339997,940800,0
293023019199,292213217197,943600,0
293889896399,293080094397,946400,0
294756773599,293946971597,949200,0
295623650799,294813848797,952000,0
296490527999,295680725997,954800,0
297357405199,296547603197,957600,0
298224282399,297414480397,960400,0
299091159599,298281357597,963200,0
