timestamp_IMU1,accel_X_IMU1,accel_Y_IMU1,accel_Z_IMU1,gyro_X_IMU1,gyro_Y_IMU1,gyro_Z_IMU1,mag_X_IMU1,mag_Y_IMU1,mag_Z_IMU1,timestamp_IMU2,accel_X_IMU2,accel_Y_IMU2,accel_Z_IMU2,gyro_X_IMU2,gyro_Y_IMU2,gyro_Z_IMU2,mag_X_IMU2,mag_Y_IMU2,mag_Z_IMU2
71545040611,0,0,0,0,0,0,292,0,0,71545117611,0,0,0,0,0,0,447,0,0
71546160611,0,0,0,0,0,0,251,0,0,71546237611,0,0,0,0,0,0,494,0,0
71547280611,0,0,0,0,0,0,256,0,0,71547357611,0,0,0,0,0,0,448,0,0
71548400611,0,0,0,0,0,0,233,0,0,71548477611,0,0,0,0,0,0,474,0,0
71549520611,0,0,0,0,0,0,283,0,0,71549597611,0,0,0,0,0,0,395,0,0
71550640611,0,0,0,0,0,0,294,0,0,71550717611,0,0,0,0,0,0,458,0,0
71551760611,0,0,0,0,0,0,262,0,0,71551837611,0,0,0,0,0,0,428,0,0
71552880611,0,0,0,0,0,0,279,0,0,71552957611,0,0,0,0,0,0,484,0,0
71554000611,0,0,0,0,0,0,283,0,0,71554077611,0,0,0,0,0,0,441,0,0
71555120611,0,0,0,0,0,0,267,0,0,71555197611,0,0,0,0,0,0,489,0,0
71556240611,0,0,0,0,0,0,299,0,0,71556317611,0,0,0,0,0,0,455,0,0
71557360611,0,0,0,0,0,0,314,0,0,71557437611,0,0,0,0,0,0,444,0,0
71558480611,0,0,0,0,0,0,268,0,0,71558557611,0,0,0,0,0,0,460,0,0
71559600611,0,0,0,0,0,0,264,0,0,71559677611,0,0,0,0,0,0,440,0,0
71560720611,0,0,0,0,0,0,225,0,0,71560797611,0,0,0,0,0,0,455,0,0
71561840611,0,0,0,0,0,0,290,0,0,71561917611,0,0,0,0,0,0,444,0,0
71562960611,0,0,0,0,0,0,251,0,0,71563037611,0,0,0,0,0,0,463,0,0
71564080611,0,0,0,0,0,0,265,0,0,71564157611,0,0,0,0,0,0,466,0,0
71565200611,0,0,0,0,0,0,278,0,0,71565277611,0,0,0,0,0,0,469,0,0
71566320611,0,0,0,0,0,0,293,0,0,71566397611,0,0,0,0,0,0,467,0,0
71567440611,0,0,0,0,0,0,306,0,0,71567517611,0,0,0,0,0,0,455,0,0
71568560611,0,0,0,0,0,0,281,0,0,71568637611,0,0,0,0,0,0,430,0,0
71569680611,0,0,0,0,0,0,275,0,0,71569757611,0,0,0,0,0,0,523,0,0
71570800611,0,0,0,0,0,0,264,0,0,71570877611,0,0,0,0,0,0,466,0,0
71571920611,0,0,0,0,0,0,286,0,0,71571997611,0,0,0,0,0,0,465,0,0
71573040611,0,0,0,0,0,0,272,0,0,71573117611,0,0,0,0,0,0,446,0,0
71574160611,0,0,0,0,0,0,244,0,0,71574237611,0,0,0,0,0,0,426,0,0
71575280611,0,0,0,0,0,0,260,0,0,71575357611,0,0,0,0,0,0,424,0,0
71576400611,0,0,0,0,0,0,297,0,0,71576477611,0,0,0,0,0,0,455,0,0
71577520611,0,0,0,0,0,0,275,0,0,71577597611,0,0,0,0,0,0,483,0,0
71578640611,0,0,0,0,0,0,264,0,0,71578717611,0,0,0,0,0,0,454,0,0
71579760611,0,0,0,0,0,0,283,0,0,71579837611,0,0,0,0,0,0,415,0,0
71580880611,0,0,0,0,0,0,282,0,0,71580957611,0,0,0,0,0,0,446,0,0
71582000611,0,0,0,0,0,0,317,0,0,71582077611,0,0,0,0,0,0,464,0,0
71583120611,0,0,0,0,0,0,290,0,0,71583197611,0,0,0,0,0,0,445,0,0
71584240611,0,0,0,0,0,0,307,0,0,71584317611,0,0,0,0,0,0,413,0,0
71585360611,0,0,0,0,0,0,263,0,0,71585437611,0,0,0,0,0,0,449,0,0
71586480611,0,0,0,0,0,0,299,0,0,71586557611,0,0,0,0,0,0,476,0,0
71587600611,0,0,0,0,0,0,277,0,0,71587677611,0,0,0,0,0,0,480,0,0
71588720611,0,0,0,0,0,0,264,0,0,71588797611,0,0,0,0,0,0,477,0,0
