timestamp_IMU1,accel_X_IMU1,accel_Y_IMU1,accel_Z_IMU1,gyro_X_IMU1,gyro_Y_IMU1,gyro_Z_IMU1,mag_X_IMU1,mag_Y_IMU1,mag_Z_IMU1,timestamp_IMU2,accel_X_IMU2,accel_Y_IMU2,accel_Z_IMU2,gyro_X_IMU2,gyro_Y_IMU2,gyro_Z_IMU2,mag_X_IMU2,mag_Y_IMU2,mag_Z_IMU2
182930160611,0,0,0,0,0,0,521,0,0,182930237611,0,0,0,0,0,0,571,0,0
182931280611,0,0,0,0,0,0,476,0,0,182931357611,0,0,0,0,0,0,558,0,0
182932400611,0,0,0,0,0,0,507,0,0,182932477611,0,0,0,0,0,0,590,0,0
182933520611,0,0,0,0,0,0,498,0,0,182933597611,0,0,0,0,0,0,605,0,0
182934640611,0,0,0,0,0,0,493,0,0,182934717611,0,0,0,0,0,0,551,0,0
182935760611,0,0,0,0,0,0,494,0,0,182935837611,0,0,0,0,0,0,574,0,0
182936880611,0,0,0,0,0,0,461,0,0,182936957611,0,0,0,0,0,0,557,0,0
182938000611,0,0,0,0,0,0,501,0,0,182938077611,0,0,0,0,0,0,565,0,0
182939120611,0,0,0,0,0,0,480,0,0,182939197611,0,0,0,0,0,0,594,0,0
182940240611,0,0,0,0,0,0,510,0,0,182940317611,0,0,0,0,0,0,532,0,0
182941360611,0,0,0,0,0,0,520,0,0,182941437611,0,0,0,0,0,0,585,0,0
182942480611,0,0,0,0,0,0,503,0,0,182942557611,0,0,0,0,0,0,598,0,0
182943600611,0,0,0,0,0,0,473,0,0,182943677611,0,0,0,0,0,0,557,0,0
182944720611,0,0,0,0,0,0,511,0,0,182944797611,0,0,0,0,0,0,587,0,0
182945840611,0,0,0,0,0,0,510,0,0,182945917611,0,0,0,0,0,0,515,0,0
182946960611,0,0,0,0,0,0,463,0,0,182947037611,0,0,0,0,0,0,567,0,0
182948080611,0,0,0,0,0,0,467,0,0,182948157611,0,0,0,0,0,0,594,0,0
182949200611,0,0,0,0,0,0,522,0,0,182949277611,0,0,0,0,0,0,555,0,0
182950320611,0,0,0,0,0,0,508,0,0,182950397611,0,0,0,0,0,0,571,0,0
182951440611,0,0,0,0,0,0,516,0,0,182951517611,0,0,0,0,0,0,656,0,0
182952560611,0,0,0,0,0,0,444,0,0,182952637611,0,0,0,0,0,0,581,0,0
182953680611,0,0,0,0,0,0,510,0,0,182953757611,0,0,0,0,0,0,551,0,0
182954800611,0,0,0,0,0,0,456,0,0,182954877611,0,0,0,0,0,0,539,0,0
182955920611,0,0,0,0,0,0,474,0,0,182955997611,0,0,0,0,0,0,611,0,0
182957040611,0,0,0,0,0,0,522,0,0,182957117611,0,0,0,0,0,0,556,0,0
182958160611,0,0,0,0,0,0,474,0,0,182958237611,0,0,0,0,0,0,624,0,0
182959280611,0,0,0,0,0,0,468,0,0,182959357611,0,0,0,0,0,0,582,0,0
182960400611,0,0,0,0,0,0,520,0,0,182960477611,0,0,0,0,0,0,535,0,0
182961520611,0,0,0,0,0,0,483,0,0,182961597611,0,0,0,0,0,0,572,0,0
182962640611,0,0,0,0,0,0,519,0,0,182962717611,0,0,0,0,0,0,568,0,0
182963760611,0,0,0,0,0,0,464,0,0,182963837611,0,0,0,0,0,0,558,0,0
182964880611,0,0,0,0,0,0,472,0,0,182964957611,0,0,0,0,0,0,588,0,0
182966000611,0,0,0,0,0,0,443,0,0,182966077611,0,0,0,0,0,0,603,0,0
182967120611,0,0,0,0,0,0,518,0,0,182967197611,0,0,0,0,0,0,565,0,0
182968240611,0,0,0,0,0,0,446,0,0,182968317611,0,0,0,0,0,0,535,0,0
182969360611,0,0,0,0,0,0,445,0,0,182969437611,0,0,0,0,0,0,580,0,0
182970480611,0,0,0,0,0,0,477,0,0,182970557611,0,0,0,0,0,0,529,0,0
182971600611,0,0,0,0,0,0,510,0,0,182971677611,0,0,0,0,0,0,596,0,0
182972720611,0,0,0,0,0,0,457,0,0,182972797611,0,0,0,0,0,0,630,0,0
182973840611,0,0,0,0,0,0,520,0,0,182973917611,0,0,0,0,0,0,586,0,0
182974960611,0,0,0,0,0,0,479,0,0,182975037611,0,0,0,0,0,0,539,0,0
182976080611,0,0,0,0,0,0,506,0,0,182976157611,0,0,0,0,0,0,624,0,0
182977200611,0,0,0,0,0,0,460,0,0,182977277611,0,0,0,0,0,0,594,0,0
182978320611,0,0,0,0,0,0,476,0,0,182978397611,0,0,0,0,0,0,576,0,0
182979440611,0,0,0,0,0,0,523,0,0,182979517611,0,0,0,0,0,0,596,0,0
182980560611,0,0,0,0,0,0,501,0,0,182980637611,0,0,0,0,0,0,581,0,0
182981680611,0,0,0,0,0,0,494,0,0,182981757611,0,0,0,0,0,0,567,0,0
182982800611,0,0,0,0,0,0,504,0,0,182982877611,0,0,0,0,0,0,615,0,0
182983920611,0,0,0,0,0,0,506,0,0,182983997611,0,0,0,0,0,0,626,0,0
182985040611,0,0,0,0,0,0,511,0,0,182985117611,0,0,0,0,0,0,559,0,0
182986160611,0,0,0,0,0,0,498,0,0,182986237611,0,0,0,0,0,0,590,0,0
182987280611,0,0,0,0,0,0,481,0,0,182987357611,0,0,0,0,0,0,556,0,0
182988400611,0,0,0,0,0,0,11406,0,0,182988477611,0,0,0,0,0,0,-872,0,0
182989520611,0,0,0,0,0,0,11353,0,0,182989597611,0,0,0,0,0,0,-883,0,0
182990640611,0,0,0,0,0,0,11345,0,0,182990717611,0,0,0,0,0,0,-898,0,0
182991760611,0,0,0,0,0,0,11432,0,0,182991837611,0,0,0,0,0,0,-855,0,0
182992880611,0,0,0,0,0,0,11367,0,0,182992957611,0,0,0,0,0,0,-928,0,0
182994000611,0,0,0,0,0,0,11363,0,0,182994077611,0,0,0,0,0,0,-842,0,0
182995120611,0,0,0,0,0,0,11395,0,0,182995197611,0,0,0,0,0,0,-851,0,0
182996240611,0,0,0,0,0,0,11341,0,0,182996317611,0,0,0,0,0,0,-846,0,0
182997360611,0,0,0,0,0,0,483,0,0,182997437611,0,0,0,0,0,0,586,0,0
182998480611,0,0,0,0,0,0,484,0,0,182998557611,0,0,0,0,0,0,583,0,0
182999600611,0,0,0,0,0,0,450,0,0,182999677611,0,0,0,0,0,0,609,0,0
183000720611,0,0,0,0,0,0,509,0,0,183000797611,0,0,0,0,0,0,591,0,0
183001840611,0,0,0,0,0,0,462,0,0,183001917611,0,0,0,0,0,0,650,0,0
183002960611,0,0,0,0,0,0,487,0,0,183003037611,0,0,0,0,0,0,560,0,0
183004080611,0,0,0,0,0,0,470,0,0,183004157611,0,0,0,0,0,0,572,0,0
183005200611,0,0,0,0,0,0,548,0,0,183005277611,0,0,0,0,0,0,586,0,0
183006320611,0,0,0,0,0,0,11422,0,0,183006397611,0,0,0,0,0,0,-875,0,0
183007440611,0,0,0,0,0,0,11382,0,0,183007517611,0,0,0,0,0,0,-877,0,0
183008560611,0,0,0,0,0,0,11363,0,0,183008637611,0,0,0,0,0,0,-835,0,0
183009680611,0,0,0,0,0,0,11382,0,0,183009757611,0,0,0,0,0,0,-874,0,0
183010800611,0,0,0,0,0,0,11352,0,0,183010877611,0,0,0,0,0,0,-853,0,0
183011920611,0,0,0,0,0,0,11347,0,0,183011997611,0,0,0,0,0,0,-868,0,0
183013040611,0,0,0,0,0,0,11349,0,0,183013117611,0,0,0,0,0,0,-917,0,0
183014160611,0,0,0,0,0,0,11395,0,0,183014237611,0,0,0,0,0,0,-931,0,0
183015280611,0,0,0,0,0,0,464,0,0,183015357611,0,0,0,0,0,0,601,0,0
183016400611,0,0,0,0,0,0,513,0,0,183016477611,0,0,0,0,0,0,618,0,0
183017520611,0,0,0,0,0,0,461,0,0,183017597611,0,0,0,0,0,0,553,0,0
183018640611,0,0,0,0,0,0,534,0,0,183018717611,0,0,0,0,0,0,585,0,0
183019760611,0,0,0,0,0,0,498,0,0,183019837611,0,0,0,0,0,0,561,0,0
183020880611,0,0,0,0,0,0,491,0,0,183020957611,0,0,0,0,0,0,560,0,0
183022000611,0,0,0,0,0,0,456,0,0,183022077611,0,0,0,0,0,0,575,0,0
183023120611,0,0,0,0,0,0,495,0,0,183023197611,0,0,0,0,0,0,572,0,0
183024240611,0,0,0,0,0,0,11353,0,0,183024317611,0,0,0,0,0,0,-896,0,0
183025360611,0,0,0,0,0,0,11411,0,0,183025437611,0,0,0,0,0,0,-828,0,0
183026480611,0,0,0,0,0,0,11385,0,0,183026557611,0,0,0,0,0,0,-901,0,0
183027600611,0,0,0,0,0,0,11361,0,0,183027677611,0,0,0,0,0,0,-912,0,0
183028720611,0,0,0,0,0,0,11371,0,0,183028797611,0,0,0,0,0,0,-864,0,0
183029840611,0,0,0,0,0,0,11404,0,0,183029917611,0,0,0,0,0,0,-847,0,0
183030960611,0,0,0,0,0,0,11370,0,0,183031037611,0,0,0,0,0,0,-893,0,0
183032080611,0,0,0,0,0,0,11372,0,0,183032157611,0,0,0,0,0,0,-905,0,0
183033200611,0,0,0,0,0,0,505,0,0,183033277611,0,0,0,0,0,0,583,0,0
